"","Probe","ID"
"152","2:58868741:58869240","Multi_organ"
"153","3:1105225:1105225","Multi_organ"
"154","3:15875001:15900000","Multi_organ"
"155","3:23570001:23576000","Multi_organ"
"156","4:17675001:17700000","Multi_organ"
"157","4:31950001:31975000","Multi_organ"
"158","4:34312001:34314000","Multi_organ"
"159","4:42625001:42650229","Multi_organ"
"160","6:64024:64024","Multi_organ"
"161","7:5001:10000","Multi_organ"
"162","8:53670663:53671090","Multi_organ"
"163","13:13670001:13672000","Multi_organ"
"164","13:14567598:14567598","Multi_organ"
"165","13:51245001:51250000","Multi_organ"
"166","14:214333:214482","Multi_organ"
"167","14:4182269:4182401","Multi_organ"
"168","14:28052001:28055000","Multi_organ"
"169","15:21200001:21226000","Multi_organ"
"170","15:28199001:28199500","Multi_organ"
"171","15:31047627:31047627","Multi_organ"
"172","15:43540924:43540924","Multi_organ"
"173","16:22780001:22782000","Multi_organ"
"174","16:44542001:44544000","Multi_organ"
"175","16:46765344:46766406","Multi_organ"
"176","17:7760001:7762000","Multi_organ"
"177","17:9936401:9936898","Multi_organ"
"178","17:14458405:14458505","Multi_organ"
"179","17:41075001:41100000","Multi_organ"
"180","17:52708001:52710000","Multi_organ"
"181","18:44827390:44827390","Multi_organ"
"182","19:6310001:6316000","Multi_organ"
"183","20:15770001:15775060","Multi_organ"
"184","20:54175001:54180000","Multi_organ"
"185","20:54390001:54395000","Multi_organ"
"186","22:695001:700000","Multi_organ"
"187","22:709301:709611","Multi_organ"
"188","22:20910001:20915000","Multi_organ"
"189","24:986415:986416","Multi_organ"
"190","24:3017976:3018219","Multi_organ"
"191","24:3059536:3059585","Multi_organ"
"192","24:11825001:11850000","Multi_organ"
